analysis_date,symbol,expiry,strike,stock_price,call_bid,call_ask,call_volume,call_open_interest,call_bid_iv,call_ask_iv,call_mid_iv,call_model_iv,call_delta,call_gamma,call_vega,call_theta,put_bid,put_ask,put_volume,put_open_interest,put_bid_iv,put_ask_iv,put_mid_iv,put_model_iv,put_delta,put_gamma,put_vega,put_theta,expiry_date,days_to_expiry,dte_diff,atm_diff,straddle_bid,straddle_ask,straddle_mid,spread_abs,spread_pct_mid,min_leg_volume,total_volume,min_leg_open_interest,total_open_interest,IV30D,IV180D,iv_slope,side,rank_desc,rank_asc
2026-02-25,ROIV,20260320,29.0,28.51,0.9,1.0,6.0,0.0,0.3808740723900214,0.4191073569368548,0.3999907146634381,0.4111277575557737,0.4659334855414323,0.1357791790179582,0.0287624121038636,-0.0272616948456019,1.2,1.4,1.0,0.0,0.338851740977391,0.4120546032411243,0.3754531721092576,0.4111277575557737,-0.5370548957570214,0.137127916844478,0.0287058734369414,-0.0244021783559122,2026-03-20,23,7,0.48999999999999844,2.1,2.4,2.25,0.2999999999999998,0.13333333333333325,1.0,7.0,0.0,0.0,0.3968093133513409,0.5483723613146626,0.27638710236957587,long_straddle,1,1
2026-02-25,GMED,20260320,95.0,96.16,3.4,3.8,49.0,0.0,0.2821377189556434,0.3138290051303735,0.2979833620430084,0.2957448586174056,0.5891985806413912,0.0547770784951624,0.0946624755064968,-0.0673283964116349,2.1,2.35,27.0,43.0,0.2898203199930401,0.3162197627696387,0.3030200413813394,0.2957448586174056,-0.4096970992468213,0.0552175937163542,0.094683040330072,-0.057820631451916,2026-03-20,23,7,1.1599999999999966,5.5,6.15,5.825,0.6500000000000004,0.11158798283261809,27.0,76.0,0.0,43.0,0.3035509532928493,0.3910659854207555,0.2237858453318231,long_straddle,2,2
2026-02-25,CYTK,20260417,70.0,62.36,4.1,4.5,1524.0,0.0,0.7303547604074456,0.7762286449444179,0.7532917026759318,0.7706134411291378,0.4053008119513857,0.0217316038902527,0.0932161512891331,-0.0680702835157376,9.8,12.3,7.0,0.0,0.5448748377414175,0.8292222233275319,0.6870485305344747,0.7706134411291378,-0.5982953304733891,0.0219937082378582,0.0918064001019729,-0.06159777479421,2026-04-17,51,21,7.640000000000001,13.9,16.8,15.350000000000001,2.9000000000000004,0.18892508143322476,7.0,1531.0,0.0,0.0,0.7201701166052032,0.9236509453871836,0.22030056895214198,long_straddle,3,3
2026-02-25,EXEL,20260417,45.0,44.865,2.1,2.45,3.0,0.0,0.3046373339267551,0.3572521909782801,0.3309447624525176,0.3266428586754186,0.5323808342474414,0.0729964192552495,0.0665158866833182,-0.0237410495290282,1.7,2.2,0.0,3.0,0.2614276646885549,0.3366601965229706,0.2990439306057627,0.3266428586754186,-0.4730945047349985,0.0744142924125355,0.0664449326883129,-0.0193597781173062,2026-04-17,51,21,0.134999999999998,3.8,4.65,4.225,0.8500000000000005,0.20118343195266286,0.0,3.0,0.0,3.0,0.3149943465291401,0.4002665094700677,0.21303846543100385,long_straddle,4,4
2026-02-25,MDGL,20260320,440.0,436.26,17.8,21.8,1.0,0.0,0.4366330275339426,0.528191378305834,0.4824122029198883,0.490543904285258,0.5038603366862711,0.0074484268273871,0.4367980058248477,-0.4922881999674899,20.2,24.2,0.0,53.0,0.4256582633497981,0.5172551255809354,0.4714566944653668,0.490543904285258,-0.4983023343508255,0.0075029933149799,0.4365876905861334,-0.4488090207435675,2026-03-20,23,7,3.740000000000009,38.0,46.0,42.0,8.0,0.19047619047619047,0.0,1.0,0.0,53.0,0.4812159863482295,0.6094262769467421,0.21037867162678472,long_straddle,5,5
2026-02-25,GRMN,20260320,250.0,249.63,5.9,6.6,1.0,0.0,0.2447945080972855,0.2770759442612613,0.2609352261792734,0.263500710883198,0.507804694164499,0.0246743759147272,0.2477795317051141,-0.1628942539482256,6.4,7.2,11.0,24.0,0.2415490495209925,0.2736497195155042,0.2575993845182484,0.263500710883198,-0.5053462390433536,0.0245000399293726,0.2491600308444637,-0.1314776832874891,2026-03-20,23,7,0.37000000000000455,12.3,13.8,13.05,1.5,0.11494252873563218,1.0,12.0,0.0,24.0,0.2590452226763561,0.327329359026846,0.20860987402260353,long_straddle,6,6
2026-02-25,LRN,20260320,80.0,83.96000000000001,6.1,6.9,10.0,0.0,0.4555986281767068,0.5479214375531712,0.501760032864939,0.4852772880021299,0.6843302701268276,0.0350187560537174,0.0777676833259048,-0.0840621468400097,1.95,2.5,1.0,473.0,0.4474739423360468,0.5210160455584086,0.4842449939472277,0.4852772880021299,-0.3168120260811741,0.0351919739513565,0.0777994004993076,-0.0764027630599701,2026-03-20,23,7,3.960000000000008,8.049999999999999,9.4,8.725,1.3500000000000014,0.15472779369627523,1.0,11.0,0.0,473.0,0.4595067475912926,0.5787281675322717,0.20600590506825633,long_straddle,7,7
2026-02-25,DOCS,20260320,25.0,24.63,1.3,1.4,472.0,0.0,0.5828157242395196,0.6232659430751568,0.6030408336573382,0.5980387113798845,0.4955538827612536,0.1106117234501427,0.024726567604594,-0.0329555911089491,1.65,1.75,505.0,628.0,0.5980387113798845,0.6385155549270103,0.6182771331534473,0.5980387113798845,-0.5062854463725397,0.1113033788528687,0.0247146834522742,-0.0304862466271575,2026-03-20,23,7,0.370000000000001,2.95,3.15,3.05,0.19999999999999973,0.0655737704918032,472.0,977.0,0.0,628.0,0.5912582367675694,0.7328882606480962,0.19324913699024565,long_straddle,8,8
2026-02-25,G,20260320,40.0,37.9,0.5,0.65,28.0,0.0,0.3133152552431643,0.3773003841383097,0.345307819690737,0.3768196767816745,0.3017873343262555,0.0987388373531223,0.0348998943275734,-0.0282645068157257,2.55,3.1,0.0,530.0,0.3119797016235257,0.4774963702798764,0.3947380359517011,0.3768196767816745,-0.7010679968218875,0.0981729858233539,0.0346316518557685,-0.024242684795086,2026-03-20,23,7,2.1000000000000014,3.05,3.75,3.4,0.7000000000000002,0.20588235294117652,0.0,28.0,0.0,530.0,0.3022612569723474,0.3737204855956137,0.1912103600887139,long_straddle,9,9
2026-02-25,MSI,20260320,470.0,469.25,7.5,10.1,21.0,0.0,0.1639256195611412,0.2193879932350491,0.1916568063980951,0.204569727911407,0.5057606156849562,0.0169389774095465,0.4687959440743157,-0.2355500351261579,9.0,10.8,18.0,15.0,0.1829273046722089,0.2212731612212095,0.2021002329467092,0.204569727911407,-0.5042008655915032,0.0167855714538042,0.4693602398916976,-0.1868098319285387,2026-03-20,23,7,0.75,16.5,20.9,18.7,4.399999999999999,0.23529411764705876,18.0,39.0,0.0,15.0,0.1992184548760626,0.2448884222222743,0.18649296251645212,long_straddle,10,10
