symbol,expiry,strike,stock_price,call_bid,call_ask,call_volume,call_open_interest,call_bid_iv,call_ask_iv,call_mid_iv,call_model_iv,call_delta,call_gamma,call_vega,call_theta,put_bid,put_ask,put_volume,put_open_interest,put_bid_iv,put_ask_iv,put_mid_iv,put_model_iv,put_delta,put_gamma,put_vega,put_theta,atm_iv,expiry_date,days_to_expiry
A,20260320,125.0,124.85000000000001,4.5,4.9,17.0,0.0,0.3555284575989205,0.38762080567058493,0.3715746316347527,0.3864990137849883,0.5231688799780367,0.033051513462280774,0.12462362707364782,-0.11210931853046446,4.5,4.9,0.0,,0.3632158927529209,0.39532485986465443,0.3792703763087877,0.3864990137849883,-0.4795178725570628,0.03335145218252804,0.12456538826811858,-0.09974977688911935,0.3754225039717702,2026-03-20,23
AA,20260320,66.0,65.5,3.95,4.35,57.0,0.0,0.6310896611997154,0.692168885504438,0.6616292733520768,0.6658699624895126,0.5188263700919131,0.03659410141543385,0.06548572168326583,-0.09893993104169851,4.5,5.0,3.0,0.0,0.6486614488791831,0.7250281923880535,0.6868448206336183,0.6658699624895126,-0.48303693155173927,0.036655376742386746,0.06549045506002216,-0.09211781551195042,0.6742370469928476,2026-03-20,23
AA,20260327,65.0,65.5,4.7,5.55,1.0,0.0,0.5880822938694314,0.702938338157167,0.6455103160132992,0.6506809484917919,0.5549299471571795,0.032545144216243306,0.07396320519212729,-0.08403498484930516,4.3,5.8,1.0,0.0,0.6162387291472795,0.8190746068427145,0.7176566679949969,0.6506809484917919,-0.4467244781423301,0.03272774034576531,0.07397372473390895,-0.07752056300056598,0.6815834920041481,2026-03-27,30
AA,20260717,65.0,65.5,9.65,10.95,7.0,0.0,0.5599590287874873,0.6424087405680154,0.6011838846777513,0.6066956778064581,0.5963112154725536,0.01571402291426859,0.15758877634004875,-0.03681326590876033,9.05,10.45,0.0,71.0,0.6018936339812351,0.6908213734150339,0.6463575036981345,0.6066956778064581,-0.4097690023469562,0.016051643011346164,0.15766694342156384,-0.030378729198575982,0.6237706941879428,2026-07-17,142
AA,20260918,65.0,65.5,12.15,12.8,18.0,0.0,0.5966703880416231,0.6313686096201956,0.6140194988309093,0.6106282115610394,0.6102864281499883,0.012882427986925071,0.18735386949801303,-0.030859893951735273,10.75,12.3,2.0,68.0,0.5959936450763583,0.678786942623546,0.6373902938499522,0.6106282115610394,-0.39502046143059055,0.01311403373489739,0.18746138268705437,-0.024589979880870416,0.6257048963404308,2026-09-18,205
AAL,20260320,13.5,13.280000000000001,0.62,0.65,114.0,0.0,0.5260461249051479,0.548446928541433,0.5372465267232904,0.5332565492846266,0.48621097541721214,0.22420747144901332,0.013392086896936939,-0.016240904054936278,0.79,0.84,4.0,63.0,0.5148143754008919,0.552177118186753,0.5334957467938224,0.5332565492846266,-0.5156527929286997,0.22505242178279047,0.01338145011051095,-0.014959177388278788,0.5353711367585564,2026-03-20,23
AAL,20260327,13.5,13.280000000000001,0.63,0.77,0.0,0.0,0.46456038329471266,0.556204692049447,0.5103825376720799,0.5108235782953818,0.4942285407308118,0.20513103838956515,0.01527465534418515,-0.013692000636613466,0.85,0.94,2.0,235.0,0.49349297366492856,0.5524709081596487,0.5229819409122887,0.5108235782953818,-0.5081352908725895,0.20629731975586246,0.015260941333014255,-0.012405620255681371,0.5166822392921843,2026-03-27,30
AAOI,20260320,57.0,58.69340133666992,8.4,9.6,0.0,0.0,1.288509738769657,1.4996367801624007,1.3940732594660288,1.384463236036571,0.6046640396443809,0.018902688508879533,0.056845142445036245,-0.1755951788516903,6.8,7.9,1.0,0.0,1.32828469184382,1.5219070245003914,1.4250958581721056,1.384463236036571,-0.39590330331140333,0.01894594289107915,0.05685660241563184,-0.16990306161220214,1.4095845588190672,2026-03-20,23
AAOI,20260327,57.0,58.68,8.9,10.3,4.0,0.0,1.2023247627205438,1.4186546901835373,1.3104897264520405,1.3184100902937088,0.6084493153389904,0.017338529607542126,0.06469653950873067,-0.1460254164419883,7.2,9.1,0.0,0.0,1.2279718897714633,1.5220001115372275,1.3749860006543453,1.3184100902937088,-0.39226826055924835,0.017389876898930713,0.06471432582279135,-0.14036476522133245,1.342737863553193,2026-03-27,30
AAP,20260320,53.0,50.42,1.77,2.04,0.0,0.0,0.5435490223795166,0.5978602318604628,0.5707046271199897,0.5774307013037284,0.4016700716068519,0.0530504179552811,0.049696026495457124,-0.06509791951634858,3.95,4.5,0.0,0.0,0.49529067012634254,0.6062683736438224,0.5507795218850824,0.5774307013037284,-0.6008747752930074,0.05348742097286744,0.04956761325827319,-0.059933782155527915,0.560742074502536,2026-03-20,23
