option_ticker,date,open,high,low,close,volume,expiry,strike,contract_type
O:AAPL250321C00230000,2025-03-03,14.5,15.85,10.52,11.65,717,20250321,230.0,C
O:AAPL250321C00230000,2025-03-04,11.29,13.3,9.72,10.39,658,20250321,230.0,C
O:AAPL250321C00230000,2025-03-05,9.7,10.2,6.2,9.6,2965,20250321,230.0,C
O:AAPL250321C00230000,2025-03-06,8.75,11,8.3,9.48,1150,20250321,230.0,C
O:AAPL250321C00230000,2025-03-07,9.55,13.5,9.15,11.9,1289,20250321,230.0,C
O:AAPL250321C00230000,2025-03-10,9.35,9.35,3.75,5,7703,20250321,230.0,C
O:AAPL250321C00230000,2025-03-11,3.36,4.11,1.66,2.08,11719,20250321,230.0,C
O:AAPL250321C00230000,2025-03-12,1.74,1.95,0.71,0.9,19003,20250321,230.0,C
O:AAPL250321C00230000,2025-03-13,0.71,0.75,0.24,0.26,14288,20250321,230.0,C
O:AAPL250321C00230000,2025-03-14,0.27,0.3,0.13,0.18,12614,20250321,230.0,C
O:AAPL250321C00230000,2025-03-17,0.13,0.17,0.06,0.08,14416,20250321,230.0,C
O:AAPL250321C00230000,2025-03-18,0.07,0.11,0.04,0.05,5185,20250321,230.0,C
O:AAPL250321C00230000,2025-03-19,0.06,0.12,0.03,0.03,10671,20250321,230.0,C
O:AAPL250321C00230000,2025-03-20,0.03,0.04,0.01,0.01,12225,20250321,230.0,C
O:AAPL250321C00230000,2025-03-21,0.01,0.01,0.01,0.01,2013,20250321,230.0,C
O:AAPL250321C00232500,2025-03-03,12.45,13.8,8.95,9.85,306,20250321,232.5,C
O:AAPL250321C00232500,2025-03-04,9.65,11.18,8.05,8.55,145,20250321,232.5,C
O:AAPL250321C00232500,2025-03-05,8,8.4,4.95,8,1248,20250321,232.5,C
O:AAPL250321C00232500,2025-03-06,6.95,9.24,6.8,7.83,579,20250321,232.5,C
O:AAPL250321C00232500,2025-03-07,7.5,11.3,7.45,10.2,240,20250321,232.5,C
O:AAPL250321C00232500,2025-03-10,7.65,7.65,2.79,3.87,5374,20250321,232.5,C
O:AAPL250321C00232500,2025-03-11,2.53,3.15,1.19,1.52,5195,20250321,232.5,C
O:AAPL250321C00232500,2025-03-12,1.18,1.32,0.49,0.62,6562,20250321,232.5,C
O:AAPL250321C00232500,2025-03-13,0.46,0.5,0.17,0.17,3963,20250321,232.5,C
O:AAPL250321C00232500,2025-03-14,0.18,0.2,0.09,0.11,2101,20250321,232.5,C
O:AAPL250321C00232500,2025-03-17,0.1,0.1,0.04,0.05,2945,20250321,232.5,C
O:AAPL250321C00232500,2025-03-18,0.05,0.06,0.02,0.03,2901,20250321,232.5,C
O:AAPL250321C00232500,2025-03-19,0.03,0.06,0.02,0.03,2398,20250321,232.5,C
O:AAPL250321C00232500,2025-03-20,0.02,0.02,0.01,0.01,1073,20250321,232.5,C
O:AAPL250321C00232500,2025-03-21,0.01,0.01,0.01,0.01,483,20250321,232.5,C
O:AAPL250321C00235000,2025-03-03,10.55,11.8,7.39,8.2,776,20250321,235.0,C
O:AAPL250321C00235000,2025-03-04,8,9.65,6.5,7,1445,20250321,235.0,C
O:AAPL250321C00235000,2025-03-05,6.52,6.97,3.82,6.45,6706,20250321,235.0,C
