option_ticker,expiry,expiry_date,strike,contract_type,eval_date,stock_price,target_dte,actual_dte
O:AAPL250321C00230000,20250321,2025-03-21,230.0,C,2025-03-05,235.74,30,16
O:AAPL250321P00230000,20250321,2025-03-21,230.0,P,2025-03-05,235.74,30,16
O:AAPL250321C00232500,20250321,2025-03-21,232.5,C,2025-03-05,235.74,30,16
O:AAPL250321P00232500,20250321,2025-03-21,232.5,P,2025-03-05,235.74,30,16
O:AAPL250321C00235000,20250321,2025-03-21,235.0,C,2025-03-05,235.74,30,16
O:AAPL250321P00235000,20250321,2025-03-21,235.0,P,2025-03-05,235.74,30,16
O:AAPL250321C00237500,20250321,2025-03-21,237.5,C,2025-03-05,235.74,30,16
O:AAPL250321P00237500,20250321,2025-03-21,237.5,P,2025-03-05,235.74,30,16
O:AAPL250321C00240000,20250321,2025-03-21,240.0,C,2025-03-05,235.74,30,16
O:AAPL250321P00240000,20250321,2025-03-21,240.0,P,2025-03-05,235.74,30,16
O:AAPL250516C00225000,20250516,2025-05-16,225.0,C,2025-03-05,235.74,60,72
O:AAPL250516P00225000,20250516,2025-05-16,225.0,P,2025-03-05,235.74,60,72
O:AAPL250516C00230000,20250516,2025-05-16,230.0,C,2025-03-05,235.74,60,72
O:AAPL250516P00230000,20250516,2025-05-16,230.0,P,2025-03-05,235.74,60,72
O:AAPL250516C00235000,20250516,2025-05-16,235.0,C,2025-03-05,235.74,60,72
O:AAPL250516P00235000,20250516,2025-05-16,235.0,P,2025-03-05,235.74,60,72
O:AAPL250516C00240000,20250516,2025-05-16,240.0,C,2025-03-05,235.74,60,72
O:AAPL250516P00240000,20250516,2025-05-16,240.0,P,2025-03-05,235.74,60,72
O:AAPL250516C00245000,20250516,2025-05-16,245.0,C,2025-03-05,235.74,60,72
O:AAPL250516P00245000,20250516,2025-05-16,245.0,P,2025-03-05,235.74,60,72
O:AAPL250620C00225000,20250620,2025-06-20,225.0,C,2025-03-05,235.74,120,107
O:AAPL250620P00225000,20250620,2025-06-20,225.0,P,2025-03-05,235.74,120,107
O:AAPL250620C00230000,20250620,2025-06-20,230.0,C,2025-03-05,235.74,120,107
O:AAPL250620P00230000,20250620,2025-06-20,230.0,P,2025-03-05,235.74,120,107
O:AAPL250620C00235000,20250620,2025-06-20,235.0,C,2025-03-05,235.74,120,107
O:AAPL250620P00235000,20250620,2025-06-20,235.0,P,2025-03-05,235.74,120,107
O:AAPL250620C00240000,20250620,2025-06-20,240.0,C,2025-03-05,235.74,120,107
O:AAPL250620P00240000,20250620,2025-06-20,240.0,P,2025-03-05,235.74,120,107
O:AAPL250620C00245000,20250620,2025-06-20,245.0,C,2025-03-05,235.74,120,107
O:AAPL250620P00245000,20250620,2025-06-20,245.0,P,2025-03-05,235.74,120,107
O:AAPL250815C00225000,20250815,2025-08-15,225.0,C,2025-03-05,235.74,180,163
O:AAPL250815P00225000,20250815,2025-08-15,225.0,P,2025-03-05,235.74,180,163
O:AAPL250815C00230000,20250815,2025-08-15,230.0,C,2025-03-05,235.74,180,163
O:AAPL250815P00230000,20250815,2025-08-15,230.0,P,2025-03-05,235.74,180,163
O:AAPL250815C00235000,20250815,2025-08-15,235.0,C,2025-03-05,235.74,180,163
O:AAPL250815P00235000,20250815,2025-08-15,235.0,P,2025-03-05,235.74,180,163
O:AAPL250815C00240000,20250815,2025-08-15,240.0,C,2025-03-05,235.74,180,163
