symbol,IV30D,IV180D,stock_price
A,0.3754225039717702,0.3754225039717702,124.85000000000001
AA,0.6815834920041481,0.6249373558037292,65.5
AAL,0.5166822392921843,0.5166822392921843,13.280000000000001
AAOI,1.342737863553193,1.342737863553193,58.69340133666992
AAP,0.5690243138299935,0.6141059568061115,50.42
AAPL,0.24770107433473304,0.2731491077418582,273.9100036621094
ABBV,0.2675101090797275,0.2675101090797275,230.44
ABNB,0.33675535275102597,0.33675535275102597,131.33
ABT,0.22411864810527768,0.238314309732744,115.51
ACGL,0.21748638780160168,0.2381976361848855,99.11
ACI,0.29712486483198336,0.3215377610669226,17.580000000000002
ACM,0.32755011711783716,0.34811859984365146,94.48
ADC,0.20570463107828316,0.21153599609067678,79.60000000000001
ADM,0.3113722721087032,0.3036030893877666,66.62
ADP,0.30841309573861414,0.31229810438877503,209.84
AEE,0.2033872844316587,0.2033872844316587,111.35000000000001
AEIS,0.5937558438974004,0.5824706372004492,345.8
AEM,0.4810868270412194,0.46649089701813673,243.74
AEO,0.7579719874058121,0.7579719874058121,24.09
AEP,0.21410707218244765,0.2090141011558876,132.03
AER,0.2704982306603999,0.27931639461491814,149.97
AES,0.32310828519222556,0.26870779633726677,16.41
AFRM,0.6884204248948318,0.6884204248948318,48.27
AG,0.9010659196124884,0.846334902489714,29.73
AGI,0.5286533610455842,0.5289245795535158,50.25
AGNC,0.224529046875327,0.224529046875327,11.28
AGX,0.7731016044350641,0.7687605281712218,451.19
AIG,0.25873098698420066,0.25873098698420066,79.89
AIT,0.28601612181900693,0.30655372695240163,280.29
AIZ,0.2592769340464199,0.2436452308844751,223.91
AJG,0.3660357719241341,0.3511415688811994,216.87
ALAB,0.8588354917642353,0.8369583157860938,123.26
ALB,0.6742342435525932,0.6742342435525932,197.05
ALC,0.26651791042549683,0.2734115610932993,86.34
ALGM,0.5708434144790492,0.6021985498111037,38.08
ALGN,0.3855165458644443,0.3855165458644443,187.37
ALK,0.5116096711844683,0.4752657900547035,54.1
ALL,0.24757482043588877,0.247566984316394,208.89000000000001
ALLE,0.24402953730465984,0.24124588254849372,155.59
ALLY,0.3473370399367406,0.34932364219222267,41.52
ALNY,0.4143985482437863,0.4668493388702963,326.52
AMAT,0.50974552554921,0.5146204226757343,391.12
AMD,0.5678390847110069,0.5667199662344872,212.65
AME,0.21900619897561263,0.23722100025610132,235.3253936767578
AMG,0.41045986875199975,0.395439856809197,311.94
AMGN,0.2580046831790497,0.2769058600866779,384.04
AMH,0.2577745511223457,0.2842444211402716,29.73
AMP,0.3141561970281098,0.31477803295833323,476.05
AMPX,1.1531809428801927,1.1156758530798359,11.125
AMT,0.26600308030314257,0.2791400406985548,185.99
AMZN,0.3252194771250019,0.3252194771250019,210.1199951171875
AN,0.3065179192406352,0.3410652458179974,196.54
ANET,0.5095833305997509,0.5095833305997509,131.7
ANF,0.7772762168024152,0.5878182907633338,96.2
AON,0.26717422005862224,0.25637216394215095,322.63
AOS,0.2386122533430059,0.24425619469168663,76.38
APA,0.5504524729474295,0.5504524729474295,27.96
APH,0.48297827206871335,0.45332591041765435,153.43
APO,0.4400419991691629,0.42762653812810103,117.04
APP,0.7513400625959781,0.7962189729449333,420.73
APTV,0.3601788744637492,0.3774029698215899,76.86
AR,0.45772985274539,0.440740617870241,34.32
ARCC,0.265001875810822,0.25769472000335547,19.45
ARE,0.4281134014437631,0.4216148722804251,54.0
ARES,0.5416734846756837,0.5018307404912947,119.24000000000001
ARGX,0.42597839380313013,0.4053358323291868,833.77
ARM,0.5620765352629197,0.5620765352629197,132.17000000000002
ARMK,0.2734065271756891,0.2654275685720628,40.71
ARW,0.35484692217440017,0.35484692217440017,154.89000000000001
ARWR,0.6799244410612791,0.8177629753382776,62.11
AS,0.47338305688077537,0.47338305688077537,37.39
ASND,0.4510430767235949,0.4422817901767931,229.7417755126953
ASTS,1.1754445798398503,1.1754445798398503,85.03
ASX,0.5373144711731455,0.5449918942647817,25.23
ATI,0.41933289525507694,0.4590438374795016,160.88
ATO,0.18299882874183263,0.20151241191385957,182.26
AU,0.6119021640584572,0.6119021640584572,128.03
AVAV,0.9139579592291959,0.7602056640916419,261.89
AVB,0.23445034949097882,0.2317833645727112,177.34
AVTR,0.500567952017275,0.5888840340836607,9.07
AVY,0.24754777098548544,0.25889566518560503,192.95000000000002
AWK,0.21873077556570297,0.21873077556570297,133.22
AXON,0.5751377751916463,0.5930308098926345,520.02
AXTA,0.370702317117484,0.370702317117484,33.76
AXTI,1.5282714011760952,1.5640031861026715,40.315000000000005
AYI,0.33494208624442007,0.3543392786322202,307.39
AZO,0.34861123924003035,0.34861123924003035,3671.31
B,0.5176357086705565,0.48742891513966247,50.370000000000005
BA,0.3263140315490194,0.342594445558766,230.8
BAC,0.27987489565327084,0.28038403705124665,51.51
BALL,0.2505387571558308,0.2818502001658159,65.94
BAM,0.3522486092574078,0.3546791809440226,49.730000000000004
BAP,0.2896051965736772,0.3074974313877096,360.54
BAX,0.4086700907333659,0.4086700907333659,20.66
BBIO,0.5490151622505461,0.6103619913933644,63.75
BBWI,0.6830218932802632,0.5721058927808467,22.85
BCS,0.35361307323084723,0.35808507071303625,25.69
BDX,0.2637166947609937,0.28856459178780325,180.78
BE,1.2399813729959481,1.2399813729959481,176.9
BEN,0.2805770515349465,0.28882142981177034,27.26
BG,0.3373787363899975,0.3227840075229954,120.84
BIIB,0.34017451546176936,0.3707690318130812,190.38
BILL,0.738689451991285,0.6230045342511221,42.980000000000004
BIRK,0.4382869466552911,0.44664535899848923,39.95
