date,ticker,cOpra,pOpra,call_entry,put_entry,call_exit,put_exit,entry_cost,exit_value,return_pct,dollar_pnl
2026-03-12,PLTR,PLTR260313C00152500,PLTR260313P00152500,3.15,2.92,0.0,0.0,6.07,0.0,-1.0,-607.0
2026-03-12,GOOG,GOOG260313C00307500,GOOG260313P00307500,2.92,3.8,0.0,0.0,6.72,0.0,-1.0,-672.0
2026-03-12,GOOGL,GOOGL260311C00305000,GOOGL260311P00305000,2.69,0.92,0.0,0.0,3.61,0.0,-1.0,-361.0
2026-03-12,NVDA,NVDA260311C00182500,NVDA260311P00182500,3.04,0.4,0.0,0.0,3.44,0.0,-1.0,-344.0
2026-03-12,META,META260311C00655000,META260311P00655000,4.0,3.15,0.0,0.0,7.15,0.0,-1.0,-715.0
2026-03-12,NFLX,NFLX260313C00097000,NFLX260313P00097000,1.68,1.04,0.0,0.0,2.7199999999999998,0.0,-1.0,-272.0
2026-03-12,AMZN,AMZN260311C00215000,AMZN260311P00215000,1.99,0.68,0.0,0.0,2.67,0.0,-1.0,-267.0
2026-03-12,TSLA,TSLA260311C00400000,TSLA260311P00400000,10.3,0.85,0.0,0.0,11.15,0.0,-1.0,-1115.0
2026-03-12,LLY,LLY260313C01002500,LLY260313P01002500,14.0,22.25,0.0,0.0,36.25,0.0,-1.0,-3625.0
2026-03-12,WMT,WMT260313C00125000,WMT260313P00125000,1.26,1.47,0.0,0.0,2.73,0.0,-1.0,-273.0
2026-03-12,JNJ,JNJ260313C00242500,JNJ260313P00242500,3.15,2.45,0.0,0.0,5.6,0.0,-1.0,-560.0
2026-03-12,KO,KO260313C00078000,KO260313P00078000,0.21,1.58,0.0,0.0,1.79,0.0,-1.0,-179.0
2026-03-12,MRK,MRK260313C00117000,MRK260313P00117000,1.41,1.95,0.0,0.0,3.36,0.0,-1.0,-336.0
2026-03-12,PEP,PEP260313C00162500,PEP260313P00162500,0.76,4.05,0.0,0.0,4.81,0.0,-1.0,-480.99999999999994
2026-03-12,DIS,DIS260313C00101000,DIS260313P00101000,1.89,1.25,0.0,0.0,3.1399999999999997,0.0,-1.0,-313.99999999999994
2026-03-12,MELI,MELI260313C01750000,MELI260313P01750000,35.4,42.6,0.0,0.0,78.0,0.0,-1.0,-7800.0
2026-03-12,MCD,MCD260313C00327500,MCD260313P00327500,2.69,3.95,0.0,0.0,6.640000000000001,0.0,-1.0,-664.0
2026-03-12,CMCSA,CMCSA260313C00031000,CMCSA260313P00031000,0.79,0.72,0.0,0.0,1.51,0.0,-1.0,-151.0
2026-03-12,GILD,GILD260313C00149000,GILD260313P00149000,1.2,3.35,0.0,0.0,4.55,0.0,-1.0,-455.0
2026-03-12,F,F260313C00012500,F260313P00012500,0.16,0.24,0.0,0.0,0.4,0.0,-1.0,-40.0
