req_id,symbol,expiry,dte,strike,right,ready,failed_req,status,bid,ask,option_volume,open_interest,bid_iv,ask_iv,model_iv,delta,gamma,vega,theta,und_price,has_quote,has_any_iv,has_underlying,error_code,error_msg
320,NVDA,20260320,23,195.0,C,True,False,has_data,11.1,11.2,9141,0.0,0.5214359891582931,0.5265626872642101,0.5220469625192309,0.5492823696559904,0.01550253511214519,0.1950830923827951,-0.23185259801982916,196.02000427246094,True,True,True,,
321,NVDA,20260320,23,195.0,P,True,False,has_data,9.4,9.45,2490,11134.0,0.5184195288857041,0.5235460445126349,0.5220469625192309,-0.4524582719166191,0.015596726556942784,0.19508717823914878,-0.21213190255770975,196.02000427246094,True,True,True,,
322,NVDA,20260320,23,197.5,C,True,False,has_data,9.8,9.85,711,0.0,0.5151080099176526,0.5201925526837308,0.5163340382979423,0.5102147220930904,0.015771374338997193,0.19670127947179772,-0.23058802924553312,196.02000427246094,True,True,True,,
323,NVDA,20260320,23,197.5,P,True,False,has_data,10.6,10.65,338,320.0,0.5121232774635659,0.5172097792830506,0.5163340382979423,-0.491808446287616,0.015875816276698283,0.19662219665509717,-0.2108143792615209,196.02000427246094,True,True,True,,
324,NVDA,20260327,30,195.0,C,True,False,has_data,12.05,12.15,823,0.0,0.49636169047039885,0.5008581107477852,0.49898351815901226,0.5519687459468733,0.014133821250555538,0.222426253601542,-0.19595301142280874,195.9459991455078,True,True,True,,
325,NVDA,20260327,30,195.0,P,True,False,has_data,10.2,10.3,111,500.0,0.49532025680678754,0.4998165870796242,0.49898351815901226,-0.4504235272494098,0.014329124872045927,0.22242417684913818,-0.17539243447406783,196.02000427246094,True,True,True,,
326,NVDA,20260327,30,200.0,C,True,False,has_data,9.55,9.65,1056,0.0,0.4862564372465037,0.49067764589494306,0.4888078147838983,0.47961047661254175,0.014597881366980456,0.22621359143683506,-0.1931926294517865,196.02000427246094,True,True,True,,
327,NVDA,20260327,30,200.0,P,True,False,has_data,12.7,12.8,72,304.0,0.4853467770978821,0.48977469249615047,0.4888078147838983,-0.5232880422594309,0.01473907366858058,0.22588408505912128,-0.173174288220606,196.02000427246094,True,True,True,,
328,NVDA,20260821,177,195.0,C,True,False,has_data,27.05,27.2,85,,0.4543983455154187,0.45722354079635175,0.45468856442813366,0.5945972228992131,0.0062494586006750265,0.5309220415311842,-0.07805369121525274,196.02000427246094,True,True,True,,
329,NVDA,20260821,177,195.0,P,False,False,not_ready_before_timeout,22.2,22.35,11,,,,,,,,,,True,False,False,,
330,NVDA,20260821,177,200.0,C,True,False,has_data,24.65,24.8,99,,0.452780442185699,0.4546309341404116,0.45278044219941277,0.5629465342907234,0.00638772025901654,0.5403335406989029,-0.07855505450859823,196.02000427246094,True,True,True,,
331,NVDA,20260821,177,200.0,P,True,False,has_data,24.75,24.85,8,,0.4509307185374289,0.4527857652087179,0.45278044219941277,-0.44793887369871416,0.006667518781797366,0.5390109957872511,-0.05948491661080979,196.02000427246094,True,True,True,,
332,NVDA,20260918,205,195.0,C,True,False,has_data,29.55,29.7,165,0.0,0.45936222194227505,0.4611186756100831,0.4600635485129437,0.6024765856779656,0.005700596318488841,0.5692634325743029,-0.07352884275271876,195.9459991455078,True,True,True,,
333,NVDA,20260918,205,195.0,P,True,False,has_data,24.15,24.3,25,3980.0,0.4592045800751198,0.46183570608614627,0.4600635485129437,-0.40923706462662257,0.0059564556357725425,0.5701108342750665,-0.05583944021496734,196.02000427246094,True,True,True,,
334,NVDA,20260918,205,200.0,C,True,False,has_data,27.2,27.35,510,0.0,0.4565251782807804,0.45911406653744874,0.457126590629386,0.573414723733643,0.005839081148963556,0.5793113452065306,-0.07388678280369732,196.02000427246094,True,True,True,,
335,NVDA,20260918,205,200.0,P,True,False,has_data,26.7,26.85,4,,0.45611664910881666,0.4587108402434371,0.457126590629386,-0.4396938662464979,0.006121608475893447,0.5782013886554829,-0.05578213713130964,196.02000427246094,True,True,True,,
