symbol,expiry,strike,stock_price,call_bid,call_ask,call_volume,call_open_interest,call_bid_iv,call_ask_iv,call_mid_iv,call_model_iv,call_delta,call_gamma,call_vega,call_theta,put_bid,put_ask,put_volume,put_open_interest,put_bid_iv,put_ask_iv,put_mid_iv,put_model_iv,put_delta,put_gamma,put_vega,put_theta
NVDA,20260320,197.5,196.38499450683594,9.9,9.95,715.0,0.0,,,,0.5166200306643633,0.5162810975086103,0.01565286070826001,0.19681235177210255,-0.2324137258741601,10.5,10.6,340.0,320.0,,,,0.5166200306643633,-0.48571346046915065,0.01574816186911911,0.19675235134424796,-0.21215020352055802
NVDA,20260320,195.0,196.38499450683594,11.2,11.3,9329.0,0.0,,,,0.5222041920933423,0.5550402426539429,0.015359147314054135,0.1951915122201786,-0.23343796460097366,9.3,9.4,2582.0,11134.0,,,,0.5222041920933423,-0.4466792233685659,0.015446119205259136,0.19520386351775798,-0.21323695908478157
NVDA,20260327,195.0,196.38499450683594,12.15,12.25,827.0,0.0,,,,0.49762519421568324,0.5570401391621649,0.014112307154334893,0.22255304890878946,-0.19568508467102141,10.15,10.25,111.0,500.0,,,,0.49762519421568324,-0.4455432160148467,0.014225161357487281,0.2225541872624266,-0.17620753499830677
NVDA,20260821,195.0,196.38499450683594,27.15,27.3,85.0,0.0,,,,0.45546753569635473,0.5968070629400134,0.006227385748636227,0.5311930991032909,-0.07826282922028582,22.1,22.25,12.0,860.0,,,,0.45546753569635473,-0.41240371610165383,0.006461055757940554,0.5314597224391555,-0.05950900604114295
NVDA,20260918,195.0,196.38499450683594,29.7,29.8,168.0,0.0,,,,0.4596438903566046,0.6046243337786054,0.00568560315634855,0.569598818153306,-0.07365721308223527,24.05,24.2,26.0,3980.0,0.45897751634989625,0.4616058117646211,0.4602916640572587,0.4596438903566046,-0.4071893472308067,0.0059369946971341075,0.5705504062175848,-0.05595588473867252
TSLA,20260320,415.0,414.25,16.95,17.3,985.0,0.0,0.40917591217075483,0.41158877475202915,0.410382343461392,0.4091841195160262,0.5231982922136682,0.00937050267519007,0.41447686739603995,-0.3942636915812372,16.8,16.95,578.0,3816.0,0.40713916443287224,0.40955318249243733,0.4083461734626548,0.4091841195160262,-0.4797030561329666,0.009456694153056956,0.4142771035517754,-0.350175441165149
TSLA,20260320,412.5,414.25,18.2,18.6,124.0,0.0,0.41063125578033255,0.4130550940844511,0.41184317493239186,0.410819482512226,0.5464005425252186,0.009271863342075436,0.4126161341199648,-0.39508147499255486,15.65,15.75,145.0,82.0,0.4086998990673672,0.412336320629995,0.4105181098486811,0.410819482512226,-0.4562277097212078,0.009353452470276503,0.41256052363087115,-0.3508878636693886
TSLA,20260327,415.0,414.25,19.85,20.05,337.0,0.0,0.41283443167172795,0.4160087787487935,0.4144216052102607,0.41283443167172795,0.5277469485812306,0.008145268059245463,0.4725547560696235,-0.34776591531717216,19.2,19.35,65.0,642.0,0.4091019825539777,0.4133366472626629,0.4112193149083203,0.41283443167172795,-0.47521130334249295,0.008227960261126994,0.47235883929278444,-0.3068393431219718
TSLA,20260327,410.0,414.25,22.55,22.7,186.0,0.0,0.4150156085847318,0.4182184160692206,0.41661701232697623,0.4156093139609218,0.568025998731786,0.007965553809877856,0.46842489433791457,-0.3485789793504317,16.85,17.0,137.0,530.0,0.4113410096069704,0.4156111427651925,0.41347607618608145,0.4156093139609218,-0.43444766557279274,0.008038859611860679,0.46847717122861354,-0.30762981526943634
TSLA,20260821,410.0,414.25,60.4,61.05,103.0,0.0,0.4765148820107138,0.4814389383729718,0.4789769101918428,0.48018992527439247,0.60340602037932,0.0027945182151340375,1.1167829574504182,-0.17448139025983522,48.75,49.0,18.0,671.0,0.478684753197807,0.4809218530166769,0.47980330310724195,0.48018992527439247,-0.40652162246821655,0.002889503916072939,1.1173672303999993,-0.13184117506072823
MU,20260320,427.5,427.4047546386719,35.75,36.95,57.0,0.0,0.8245467306115473,0.8539302907518326,0.83923851068169,0.8272801705809899,0.5479169061316912,0.004469116866429255,0.4256619657840588,-0.7913898713007086,33.75,35.4,8.0,10.0,0.7997620196466638,0.8385376905952624,0.819149855120963,0.8272801705809899,-0.4532057305648745,0.00448707531451395,0.4256825304610601,-0.748902603135285
MU,20260320,425.0,427.4047546386719,37.0,37.65,40.0,0.0,0.8257927952806797,0.8423006461023541,0.834046720691517,0.8283031100058627,0.5591172901209275,0.00443735046278514,0.4242603234699942,-0.7900177764942313,33.3,33.95,14.0,61.0,0.8174852184250619,0.8339898014824605,0.8257375099537612,0.8283031100058627,-0.4419350746118527,0.004454633799504103,0.4243061359619702,-0.7476053494301027
MU,20260327,425.0,427.4047546386719,40.5,42.05,33.0,,0.792855230831102,0.8249377491188002,0.8088964899749511,0.7953824913184342,0.5608369571628936,0.0040545549983442356,0.48319444122593325,-0.6646736744859538,35.1,37.65,1.0,,0.7575597405179119,0.8103134600905147,0.7839366003042133,0.7953824913184342,-0.44054696769956087,0.004077023176194986,0.4832608823913134,-0.6221408673312112
MU,20260327,430.0,427.4047546386719,38.1,39.3,547.0,,0.790530659189512,0.8152041172614075,0.8028673882254598,0.7940916787538888,0.5405716261559771,0.004087425029017522,0.4863857865328285,-0.6671706602679777,39.1,40.25,18.0,,0.7842986974033671,0.8079416012873175,0.7961201493453423,0.7940916787538888,-0.4609420733598464,0.0041105127118016465,0.4863794232828553,-0.6244933523487148
MU,20260821,430.0,427.4047546386719,86.85,88.7,1.0,,0.7142813778438447,0.7304294101098899,0.7223553939768673,0.7194332378618709,0.6105042189351302,0.001788145730728473,1.1454694472408278,-0.2515804741116199,81.0,82.4,1.0,208.0,0.711667412253514,0.7225591884539593,0.7171133003537367,0.7194332378618709,-0.39608872469632656,0.001836670848072113,1.146389110881259,-0.2117708389925923
MU,20260918,430.0,427.32,92.6,94.95,18.0,0.0,,,,0.7140974883345899,0.6183438627536045,0.0016635327638278676,1.2250318894525805,-0.23174668233404816,85.05,87.35,2.0,49.0,,,,0.7140974883345899,-0.38869003803536706,0.0017147393239870126,1.2263554452854635,-0.19255472282614505
AAPL,20260320,272.5,273.9100036621094,8.05,8.15,553.0,,0.25252204651984506,0.2561954344335206,0.25435874047668283,0.2548679028194614,0.5601817671072328,0.022495190255049938,0.2722746184158886,-0.16715134788234742,5.95,6.05,355.0,,0.2514594401347574,0.25513322089428603,0.2532963305145217,0.2548679028194614,-0.44355102022467363,0.022803825346349192,0.27224153148746844,-0.13998424086096772
AAPL,20260327,275.0,273.9100036621094,7.65,7.8,536.0,0.0,0.2444509582647096,0.2508280891813827,0.24763952372304615,0.2495886417499768,0.5128616945738486,0.020411943392473653,0.3135922016322059,-0.14484696655971607,7.8,8.0,235.0,196.0,0.24456889930114914,0.25095635059169075,0.24776262494641993,0.2495886417499768,-0.4926619182776858,0.020800789289579073,0.31311097833980295,-0.11790583493958451
AAPL,20260327,270.0,273.9100036621094,10.6,10.8,73.0,0.0,0.25625562153267195,0.2628313533091882,0.2595434874209301,0.25980152467248213,0.6106043497827971,0.018924150794972477,0.30750449594779994,-0.14546960047221447,5.8,5.95,180.0,518.0,0.2566223858678076,0.26153067252894485,0.2590765291983762,0.25980152467248213,-0.39315748042624066,0.01919701800337441,0.307604269465207,-0.11984029906714522
AAPL,20260821,275.0,273.9100036621094,22.55,22.7,7.0,0.0,0.27256203652842287,0.2745590366039366,0.27356053656617974,0.273483009949072,0.5680918284390217,0.007556252409566835,0.7510700227523692,-0.07217630864595748,19.05,19.25,0.0,423.0,0.27193400668659745,0.27393582994235854,0.272934918314478,0.273483009949072,-0.4458313513923938,0.007986001641740459,0.749230605115681,-0.04627622280730748
AAPL,20260821,270.0,273.9100036621094,25.35,25.7,12.0,0.0,0.27646817138520424,0.28121456098069436,0.2788413661829493,0.27828747086810335,0.6039324234024719,0.007291038212346839,0.7375514381478006,-0.07292610965550139,17.0,17.1,19.0,1016.0,0.2774334075481866,0.27878870329250127,0.2781110554203439,0.27828747086810335,-0.4065878235122025,0.0076559971131519204,0.7380146535181034,-0.04711468485499637
AAPL,20260918,275.0,273.9100036621094,24.4,24.55,3.0,0.0,0.27157898009582715,0.2734403389996852,0.2725096595477562,0.2718553128664027,0.5730758389295896,0.007043236459704145,0.8058098453991143,-0.0674999234381417,20.25,20.4,2.0,686.0,0.27121208035573785,0.27307770823382543,0.2721448942947816,0.2718553128664027,-0.44178297261775373,0.007466016542037925,0.8040216197926142,-0.04202569099295772
AAPL,20260918,270.0,273.9100036621094,27.1,27.55,103.0,0.0,0.2740342481916285,0.2797225250942282,0.27687838664292835,0.276166405713416,0.6077007306224153,0.006805883437844794,0.7912576668435563,-0.06805833652672888,18.15,18.3,29.0,4222.0,0.2757381408505754,0.278263872010327,0.2770010064304512,0.276166405713416,-0.4056183592142017,0.007186919927894015,0.7919453128490517,-0.04267753953156017
AMZN,20260320,210.0,210.1199951171875,7.15,7.2,1646.0,0.0,0.323620902610549,0.32600285765219206,0.3248118801313705,0.32362084862365365,0.5307338883297555,0.023410162111286777,0.20991339683432386,-0.16058127796131139,6.45,6.55,326.0,19451.0,0.3212372744600457,0.32362084862365365,0.3224290615418497,0.32362084862365365,-0.473005937312634,0.02369534592039559,0.20978287374781068,-0.1380514859104336
AMZN,20260320,212.5,210.1199951171875,5.85,5.9,474.0,0.0,0.31616924056085693,0.320881613264475,0.31852542691266594,0.3184256643738757,0.4719500621259904,0.023711891311652862,0.2121768195990521,-0.15847875847545634,7.65,7.75,270.0,79.0,0.3137035023006745,0.3184283245510529,0.3160659134258637,0.3184256643738757,-0.5325514183600984,0.02405260796050422,0.21163549404999316,-0.13585309058099337
AMZN,20260327,210.0,210.1199951171875,8.2,8.3,251.0,0.0,0.32512398221865624,0.32930160315108203,0.32721279268486914,0.32512398221865624,0.5329603579275448,0.020408937067086935,0.23937013133122775,-0.14145306174658323,7.35,7.45,132.0,974.0,0.32113619177539576,0.32531613135487353,0.3232261615651346,0.32512398221865624,-0.47093730597306493,0.02068218557423734,0.23923531558863242,-0.12054672200100391
AMZN,20260327,215.0,210.1199951171875,5.75,5.85,152.0,0.0,0.31416915153402386,0.3184269409081127,0.3162980462210683,0.31614459103264114,0.43018999613305897,0.020614311679303794,0.23480985004260368,-0.13361605027655532,9.9,10.05,25.0,256.0,0.3097784256152506,0.31618857147451246,0.3129834985448815,0.31614459103264114,-0.5753650060169057,0.020983806681220917,0.23394314896517088,-0.11275356639155376
AMZN,20260821,210.0,210.1199951171875,23.8,23.9,46.0,0.0,0.37111304736123485,0.37373160302955793,0.3724223251953964,0.3718279056060577,0.5846489927283448,0.007193991124915536,0.5727804852951301,-0.07211984387647519,19.6,19.75,55.0,2679.0,,,,0.3718279056060577,-0.42852322560046624,0.007525020601859351,0.5722817902893205,-0.050299789752035196
AMZN,20260821,215.0,210.1199951171875,21.35,21.5,11.0,0.0,,,,0.3695190340967484,0.5484338159051537,0.007362752317875488,0.5772384980473646,-0.07158764863192602,22.15,22.25,18.0,2073.0,,,,0.3695190340967484,-0.4662538917794273,0.007735569902032343,0.5753452775142698,-0.04962646065718701
AMZN,20260918,210.0,210.1199951171875,25.35,25.5,22.0,0.0,,,,0.3671772910113339,0.5895904181038852,0.006748135092723489,0.6144081657291096,-0.06655548226560981,20.65,20.8,3.0,4830.0,,,,0.3671772910113339,-0.4244356806597118,0.0070927673950017325,0.6139959736667002,-0.04547333922214847
